1758535200000000,1.00000000,5.18600000,1.00000000,3.49400000,10116834.93000000,1758538799999999,37884218.21306000,104427,4817770.08000000,18072749.56028000,0
1758538800000000,3.49700000,7.11500000,3.46100000,5.60800000,18383684.46000000,1758542399999999,92588200.39315000,235935,9432368.73000000,47787673.23521000,0
1758542400000000,5.60100000,7.26000000,5.05000000,5.52300000,10927671.89000000,1758545999999999,65004347.46515000,169646,5601447.52000000,33443229.45072000,0
1758546000000000,5.51400000,5.76500000,4.60000000,5.33700000,8212414.02000000,1758549599999999,42055855.52049000,138080,4183596.86000000,21438561.92808000,0
1758549600000000,5.33600000,5.58400000,4.75500000,4.89300000,4596974.75000000,1758553199999999,23839077.86687000,115465,2213203.85000000,11524640.87655000,0
1758553200000000,4.89000000,5.11600000,4.72100000,5.03300000,3053156.19000000,1758556799999999,15153147.18761000,81504,1594976.03000000,7922511.40155000,0
1758556800000000,5.03400000,5.35600000,4.80000000,4.98100000,3273853.17000000,1758560399999999,16920774.44101000,95322,1745644.68000000,9021915.94828000,0
1758560400000000,4.98300000,5.13900000,4.75800000,4.84800000,1449854.28000000,1758563999999999,7164166.71884000,47423,733250.68000000,3625571.34356000,0
1758564000000000,4.84600000,4.98000000,4.32500000,4.35200000,2165203.40000000,1758567599999999,10071161.76329000,46352,979943.45000000,4569877.85232000,0
1758567600000000,4.35000000,4.72100000,4.18400000,4.67500000,2651142.37000000,1758571199999999,11916595.01666000,58251,1401193.38000000,6297392.15865000,0
1758571200000000,4.67400000,4.75000000,4.52800000,4.67600000,1048859.04000000,1758574799999999,4875581.90147000,24931,501698.80000000,2334188.03328000,0
1758574800000000,4.67800000,4.69700000,4.42600000,4.55400000,1278046.70000000,1758578399999999,5877106.77579000,25737,606184.81000000,2790727.28661000,0
1758578400000000,4.55500000,4.58800000,4.33900000,4.55600000,858728.23000000,1758581999999999,3834574.22888000,27297,417178.45000000,1862826.29419000,0
1758582000000000,4.55300000,4.85000000,4.41300000,4.83900000,1395229.35000000,1758585599999999,6503643.19183000,33937,764258.95000000,3562757.90167000,0
1758585600000000,4.83800000,5.00000000,4.56600000,4.94200000,1853542.81000000,1758589199999999,8813164.63068000,40015,1003142.48000000,4771909.35919000,0
